seid,mean_sent
S01E01,0.15
S01E02,-0.07
S01E03,-0.02
S01E04,0.12
S02E01,0.02
S02E02,0.06
S02E03,-0.04
S02E04,-0.01
S02E05,0.1
S02E06,0.04
S02E07,0.28
S02E08,0.13
S02E09,0.25
S02E10,-0
S02E11,0.17
S02E12,-0.01
S03E01,0.21
S03E02,0.11
S03E03,0.23
S03E04,-0.11
S03E05,0
S03E06,-0.09
S03E07,0.17
S03E08,0.13
S03E09,0.2
S03E10,0.05
S03E11,0
S03E12,0.19
S03E13,0
S03E14,-0.03
S03E15,-0.05
S03E16,0.18
S03E17,0.09
S03E18,0.18
S03E19,0.01
S03E20,0.06
S03E21,-0.05
S03E22,-0.1
S03E23,-0.05
S04E01,-0.07
S04E02,0.1
S04E03,0.24
S04E04,0.18
S04E05,0.08
S04E06,0.33
S04E07,0.1
S04E08,0.14
S04E09,0.34
S04E10,0.26
S04E11,0.32
S04E12,0.05
S04E13,0.29
S04E14,0.08
S04E15,0.13
S04E16,0.15
S04E17,0
S04E18,0.01
S04E19,-0.02
S04E20,0.13
S04E21,-0.1
S04E22,0.35
S04E23,0.11
S04E24,0.03
S05E01,0.26
S05E02,0.04
S05E03,0.03
S05E04,0.16
S05E05,-0.22
S05E06,0.25
S05E07,0.17
S05E08,0.2
S05E09,0.3
S05E10,0.15
S05E11,0.23
S05E12,0.07
S05E13,0.03
S05E14,0.24
S05E15,-0.02
S05E16,0.28
S05E17,0.18
S05E18,0.23
S05E20,0.3
S05E21,0.35
S05E22,0.27
S06E01,0.09
S06E02,0.04
S06E03,0.33
S06E04,0.07
S06E05,0.44
S06E06,0.03
S06E07,0.29
S06E08,0.07
S06E09,0.34
S06E10,0.05
S06E11,0.17
S06E12,0.17
S06E13,-0.03
S06E16,0.15
S06E17,0.26
S06E18,0.09
S06E19,0.26
S06E20,0.08
S06E21,0.25
S06E22,0.2
S06E23,0.08
S06E24,0.09
S07E01,0.2
S07E02,0.18
S07E03,0.12
S07E04,0.23
S07E05,0.01
S07E06,0.39
S07E07,0.04
S07E08,0.04
S07E09,0.1
S07E10,-0.05
S07E11,-0.02
S07E12,0.04
S07E13,0.16
S07E14,0.38
S07E15,0.16
S07E16,0.07
S07E17,0.07
S07E18,0.16
S07E19,0.13
S07E20,0.23
S07E21,0.1
S07E22,0.07
S07E23,0.13
S07E24,0.06
S08E01,0.02
S08E02,0.16
S08E03,-0.05
S08E04,-0.09
S08E05,0.16
S08E06,0.28
S08E07,0.19
S08E08,0.05
S08E09,0.37
S08E10,0.04
S08E11,0
S08E12,0.25
S08E13,-0.06
S08E14,0.05
S08E15,0.06
S08E16,-0.02
S08E17,0.04
S08E18,0.02
S08E19,0.07
S08E20,0.03
S08E21,0.18
S08E22,0.15
S09E01,0.09
S09E02,0.11
S09E03,0.3
S09E04,0.27
S09E05,0.18
S09E06,0.15
S09E07,0.04
S09E08,0.05
S09E09,0.05
S09E10,0.16
S09E11,0.03
S09E12,0.41
S09E13,-0.04
S09E14,-0.04
S09E15,0.2
S09E16,-0.09
S09E17,-0.09
S09E18,0.17
S09E19,0.25
S09E20,-0.05
S09E23,-0.01
